LOCATION,Pays_code_iso3,NUTOVERWEIGHTPREV,GHED_GGHE_DGGE_SHA2011,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,SDGPM25,SDGODAWS,WSH_WATER_SAFELY_MANAGED,PHE_HHAIR_PROP_POP_CLEAN_FUELS,SDGIPV12M,VIOLENCE_HOMICIDERATE,NUTRITION_WH_2,NUTSTUNTINGPREV,WSH_HYGIENE_BASIC,SDGIPVLT,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_SANITATION_SAFELY_MANAGED
Samoa,WSM,9.4,15.15,21.9,8.07,5.1,62,39.7,18,2.4,3.1,8.4,72,40,43.8,43
San Marino,SMR,,29.51,15.7,9.85,,100,100.0,,,,,,,90.2,90
Sao Tome and Principe,STP,6.4,14.94,39.7,36.24,6.2,36,4.6,18,5.8,4.1,10.0,58,27,,34
Saudi Arabia,SAU,8.4,12.81,17.6,60.73,,,100.0,,2.4,3.9,11.1,,,58.4,80
Senegal,SEN,2.1,3.37,43.1,42.18,99.5,27,34.8,12,7.9,10.2,17.2,22,24,17.2,14
Serbia,SRB,12.2,13.69,24.9,22.33,33.3,75,83.1,4,1.8,2.6,4.6,,17,34.0,25
Seychelles,SYC,10.9,10.18,25.8,17.44,,,100.0,,14.6,,6.2,,,,
Sierra Leone,SLE,5.4,5.2,44.6,43.32,10.5,10,0.9,20,7.5,6.3,25.2,18,36,16.4,15
Singapore,SGP,3.8,18.12,16.6,13.33,,100,100.0,2,0.2,,2.8,,11,100.0,100
Slovakia,SVK,,14.56,25.3,16.27,,99,100.0,6,1.0,,,,18,82.0,82
Slovenia,SVN,,14.95,25.7,14.60,,98,100.0,3,0.8,,,,18,82.1,84
Solomon Islands,SLB,6.2,9.72,32.6,8.70,12.1,,8.7,28,3.8,8.5,29.8,,50,,
Somalia,SOM,2.5,2.5,46.2,14.41,50.5,,5.4,,5.0,,23.9,25,,,33
South Africa,ZAF,12.8,16.89,31.2,21.69,9.2,,89.8,13,33.8,3.6,24.4,,24,21.6,72
South Sudan,SSD,4.3,2.11,35.0,21.36,46.8,,0.0,27,16.5,,30.0,6,41,,
Spain,ESP,,15.22,15.6,9.77,,100,100.0,3,0.5,,,,15,81.2,90
Sri Lanka,LKA,0.9,9.49,20.9,24.79,40.2,47,35.4,4,1.8,9.3,10.1,85,24,,
Sudan,SDN,2.6,6.72,34.0,23.46,27.8,,70.6,17,5.3,,35.4,11,,,
Suriname,SUR,3.7,13.12,22.2,13.03,2.9,56,95.7,8,4.9,5.5,8.0,72,28,23.8,25
Sweden,SWE,,19.01,16.8,6.40,,100,100.0,6,1.1,,,,21,92.8,96
Switzerland,CHE,,12.41,16.6,9.25,,97,100.0,2,0.4,,,,12,99.3,100
Syrian Arab Republic,SYR,11.0,7.78,31.0,25.31,106.2,,88.8,,2.4,,23.5,84,,,
Tajikistan,TJK,4.6,6.39,37.3,56.80,83.9,55,87.9,14,1.7,6.4,13.1,73,24,,
Thailand,THA,9.9,16.10,20.7,25.48,2.3,,86.8,9,4.4,7.2,12.3,85,24,33.7,26
Timor-Leste,TLS,1.2,8.93,29.7,21.77,5.6,,19.1,28,5.1,8.3,45.4,,38,,
Togo,TGO,3.6,2.56,41.5,37.88,38.1,19,13.2,13,8.5,5.7,23.0,17,25,15.9,6
Tonga,TON,9.5,8.65,20.7,7.74,0.4,30,90.1,17,3.3,1.1,1.6,70,37,30.2,32
Trinidad and Tobago,TTO,15.0,10.92,22.1,10.39,,,100.0,7,37.7,,7.8,,28,38.7,
Tunisia,TUN,17.5,11.21,27.7,27.39,253.1,74,99.9,10,3.6,2.1,8.9,84,25,75.9,81
Türkiye,TUR,7.7,10.05,29.3,23.28,138.0,,95.3,12,4.8,1.7,5.5,,32,63.4,79
Turkmenistan,TKM,4.8,8.46,34.8,26.43,0.0,95,99.8,,3.4,4.1,6.5,100,,,
Tuvalu,TUV,4.1,11.21,23.2,6.81,0.1,9,77.0,20,,2.8,5.3,94,39,42.7,37
Uganda,UGA,4.2,4.86,27.2,32.29,133.0,19,1.8,26,15.5,3.2,23.5,31,45,3.9,18
Ukraine,UKR,16.0,,19.4,14.51,192.3,88,94.9,9,5.6,,11.7,,18,52.4,72
United Arab Emirates,ARE,,12.07,28.2,39.03,,,100.0,,0.7,,,,,95.0,98
United Kingdom,GBR,7.8,20.67,13.6,9.71,,100,100.0,4,1.3,0.4,3.5,,24,97.2,98
United Republic of Tanzania,TZA,4.7,5.14,38.8,16.12,296.5,11,9.8,24,8.3,3.1,29.9,29,38,16.1,25
United States of America,USA,9.7,24.74,15.0,7.41,,97,100.0,6,5.8,0.1,4.2,,26,98.1,97
Uruguay,URY,13.5,20.94,24.5,8.51,,,100.0,4,9.2,1.4,6.5,,18,,
Uzbekistan,UZB,5.5,7.13,30.4,44.55,120.8,80,78.1,,1.3,2.4,6.7,82,,,75
Vanuatu,VUT,5.5,3.89,30.4,9.09,18.7,,20.6,29,2.2,,31.0,76,47,13.2,
Venezuela (Bolivarian Republic of),,7.3,6.01,25.2,16.55,2.3,,93.5,8,63.1,,11.7,,19,,27
Viet Nam,VNM,10.5,10.7,20.5,22.12,282.0,58,98.7,10,1.9,4.4,19.2,89,25,40.8,44
Yemen,YEM,1.7,2.51,36.4,43.04,86.5,,47.3,,9.4,16.8,47.4,,,,19
Zambia,ZMB,6.3,8.89,27.1,18.85,53.6,,9.2,28,5.9,4.2,32.3,18,41,,
Zimbabwe,ZWE,4.0,5.21,27.5,14.47,9.1,27,30.7,18,11.9,5.1,23.7,42,35,55.2,32
