LOCATION,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Greece,13.35,41.14,65.76,7.4,4.7,16.89,1.62,0.5,,0.1,0.2,68.6,69.3,67.8,10.82,32.8,100,99,5.2,7.6,<0.1,,12.0,7.0,3.7,83,23,2.3,77,60,96,5,7.3,52,79.6,82.0,77.3,,,,41.1,24,,
Grenada,1.9,45.77,13.83,31.4,1.3,,,1.2,,0.1,1.7,63.2,64.3,62.1,6.52,,100,86,4.9,6.7,No data,,17.1,7.8,18.3,84,48,12.4,70,54,,48,6.4,635,72.8,75.2,70.5,0.29,1,,,,19.1,
Guatemala,2.68,22.73,12.81,57.6,4.9,,,2.0,,0.0,0.8,59.3,61.0,57.6,4,11.9,70,83,33,15.3,<0.1,0.22,14.6,1.7,21.4,77,93,10.0,59,37,87,94,12.6,729 890,68.7,71.9,65.6,1.49,48,,,,,
Guinea,0.03,4.21,2.1,127.6,4.8,1.5,0.03,3.3,37.7,6.1,1.0,53.4,53.5,53.3,0.18,,55,47,175,57.8,0.33,307.78,23.6,0.5,95.0,26,244,30.3,40,55,,494,37.4,8 401 212,61.3,62.5,59.9,5.65,,,,,,12.5
Guinea-Bissau,0.1,9.9,2.52,84.5,7.7,5.05,0.37,1.6,60,2.1,1.0,51.5,52.6,50.3,0.01,8.2,54,74,361,49.4,0.53,104.00,25.3,3.2,69.3,36,234,32.7,37,50,74,505,30.5,919 108,58.6,61.1,56.1,14.85,,,,,,
Guyana,0.68,39.27,13.87,64.9,24.8,,,1.3,46.6,0.4,0.1,56.8,58.7,55.1,0.58,11.1,98,98,64,8.6,0.73,42.66,25.4,5.3,25.7,99,96,15.6,76,37,95,75,15.2,206 893,66.1,69.3,63.0,2.91,40,,,,,
Haiti,0.22,7.32,2.92,54.8,7.8,,,1.3,45.4,1.0,0.5,53.9,53.6,54.3,0.31,8.1,42,51,149,25.9,0.48,2.29,31.6,3.3,55.1,41,210,23.3,54,54,51,328,31.3,4 487 915,62.5,63.2,61.7,5.74,,,,,,
Honduras,7.1,7.35,4.89,97.1,3.0,,,2.5,79,0.0,0.5,60.0,60.5,59.6,,12.3,94,73,31,7.1,<0.1,0.27,17.8,3.1,15.5,74,113,8.8,64,54,73,47,18.5,2 208 913,69.0,70.5,67.4,3.41,61,,,,,
Hungary,7.43,56.65,34.56,16.7,16.5,12.31,0.91,0.2,,0.9,0.5,64.8,66.7,62.9,8.4,32.2,100,99,5.9,2,No data,,21.7,11.3,3.8,99,42,2.1,79,71,99,12,7.4,19,74.4,77.8,70.9,,75,,,,,
Iceland,7.84,158.64,43.73,3.1,11.9,,,0,,0.2,0.0,71.4,71.3,71.4,11.04,9.4,97,92,3.2,2.4,<0.1,,8.5,8.2,2.6,89,8,1.3,≥80 ,78,92,3,2.4,0,82.6,83.9,81.3,,84,,2.8,9.8,35.0,
