LOCATION,Pays_code_iso3,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Chile,CHL,16.77,54.54,33.34,6.3,7.7,14.6,2.08,0.1,,0.0,0.4,67.7,68.3,67.1,7.27,28.7,100.0,96.0,18.0,2.3,0.18,,9.4,7.9,7.2,70.0,18.0,4.6,≥80 ,79,93.0,10.0,10.3,7,79.0,81.4,76.7,0.0,83.0,,,,,36.4
China,CHN,4.51,36.66,31.12,6.1,8.9,24.33,6.94,,,0.2,1.5,68.6,70.1,67.2,3.73,23.4,100.0,97.0,52.0,2.2,No data,,15.9,4.5,6.2,95.0,93.0,2.8,≥80 ,94,,16.0,17.4,18 225,77.6,80.5,75.0,0.06,,,,,,
"China, Hong Kong SAR",,,,,1.1,,,,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,0.0,,,,,,,,45.8,30.1,,
"China, Macao SAR",,,,,0.3,,,,0.0,,,,,,,,,,,51.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
Colombia,COL,8.68,15.41,25.35,39.4,5.0,8.19,2.23,2.1,86.6,0.2,0.2,65.0,66.8,63.3,1.84,8.2,98.0,90.0,46.0,3.4,0.25,10.57,10.3,4.3,12.0,84.0,32.0,6.5,≥80 ,68,90.0,59.0,16.2,3 307 872,74.5,77.6,71.6,0.15,52.0,,45.2,25.6,,8.3
Comoros,COM,0.38,16.44,4.24,74.4,6.0,,,,17.2,1.2,1.4,59.0,59.1,58.9,0.48,17.2,97.0,75.0,35.0,43.8,<0.01,24.75,20.2,0.4,39.8,79.0,168.0,22.5,48,50,,179.0,29.0,277 694,67.5,68.7,66.3,13.21,,,,,,
Congo,COG,0.02,11.21,1.73,,6.7,,,,,2.6,0.6,54.8,54.4,55.3,0.05,15.4,,78.0,368.0,26.4,1.7,214.78,21.2,6.4,40.5,34.0,173.0,17.7,41,34,76.0,241.0,8.4,1 543 031,63.2,63.8,62.5,4.54,,,,,,0.0
Cook Islands,COK,3.73,76.92,16.67,31.0,,0.12,0.0,,,0.1,,,,,,27.0,,86.0,32.0,,No data,,,,13.6,77.0,,7.2,46,70,77.0,0.0,17.6,0,,,,0.0,50.0,,,,,
Costa Rica,CRI,10.89,30.71,26.87,24.8,8.1,7.41,1.13,1.1,80.8,0.0,0.1,67.6,69.1,66.3,12.09,8.9,99.0,99.0,9.9,2.9,0.17,0.3,9.9,3.8,10.5,83.0,18.0,7.2,≥80 ,66,99.0,24.0,15.5,31 336,78.6,81.5,75.9,0.34,66.0,,,,,
Côte d'Ivoire,CIV,0.14,7.93,1.66,,7.4,8.33,0.56,2.0,52.0,3.4,1.0,55.4,56.4,54.6,0.39,8.8,84.0,79.0,119.0,47.0,0.35,251.43,22.7,4.5,67.1,43.0,192.0,28.2,43,47,79.0,359.0,20.6,20 569 107,63.5,66.0,61.4,6.09,73.0,,,,,
