location,Anxiety_disorders,Attention_deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bipolar_disorder,Conduct_disorder,Depressive_disorders,Eating_disorders,Idiopathic_developmental_intellectual_disability,Mental_disorders,Other_mental_disorders,Schizophrenia
Haiti,675.1927097188537,105.40666370880176,109.19146633352972,151.32041673494132,68.2377403908443,865.0822591203333,45.33795467682018,22.287046275176262,2333.2097429697587,109.46773751611865,181.6857484943396
Honduras,604.2062481215188,47.159745916393256,126.76094251712249,155.009288942657,73.01891505196872,624.8822890874618,53.35560180166024,21.338371527620627,2011.613043783194,109.23298151255142,196.64865930423952
Hungary,537.1830024674423,24.759137928488467,125.78882688751348,99.68849308359724,68.79932435905825,520.7788003522276,54.79830849243769,50.88520509016895,1780.6541212469251,111.09003871354513,186.88298387244745
Iceland,790.4000440657652,50.10083995831677,201.81568780569023,124.11333505894066,72.83968331509864,947.2195291131852,109.36038260084062,22.146302268812253,2617.574069260348,121.39071953463872,178.1875455390596
India,546.9629021289462,32.39749187609857,94.11157600475524,68.4103839366579,59.5075472763067,647.263405490988,41.33189934221704,94.39558090598048,1889.754600199494,104.51493060615007,200.85888263139356
Indonesia,320.42537073689925,16.924224344343514,112.5047958783002,68.6749237589032,56.52540957767332,405.11162928092017,35.385121531086966,44.66481224152712,1363.7846140915997,106.08844668989472,197.4798800520516
Iran (Islamic Republic of),1177.2118076275556,81.87502591990423,135.5152947702461,147.3187911605241,51.74248150161532,757.6746484162634,62.81038261836154,47.555054047464864,2821.594813778524,104.439425092003,255.4519026245864
Iraq,735.1352181733939,40.937445908788845,102.94817477465875,125.51123085452284,53.69335524006009,774.8400312251927,53.763320195764464,30.169344207901528,2225.1136823041693,110.32144459270656,197.79411713117904
Ireland,1125.046246340472,79.36166591511683,187.0593960308268,108.07041397568491,69.5434385808861,678.0328691644037,131.60138943283812,19.50108984543875,2724.201003400002,119.81795548650815,206.16653862782704
Israel,637.8995459736922,59.53419201976535,142.02168468613257,134.75792586930723,73.07603139678882,926.7401712514696,97.46822599729698,26.68376233179052,2406.871525846425,120.89116537580458,187.79882094437824
Italy,892.9982325276077,50.57944608480457,160.11010038482837,116.1468593249146,80.53030967037823,414.8284548935922,101.30128937847311,16.977764218733405,2111.011136467887,111.95653842360322,165.58214156095093
Jamaica,629.578066027643,106.73334813585018,112.72583244674937,157.1578541454846,69.36023222652862,756.0391790027799,67.53181898564901,20.91343986183557,2239.650842272337,111.29030788870168,208.32076355111565
Japan,371.339905864028,87.62951906287255,356.5095809278311,89.48537483419503,70.97367829965535,597.2809849230582,84.02760073959429,13.123670280531,2050.637728893783,112.4007713859908,267.8666425760269
Jordan,583.8662233283809,47.95081755475764,132.76545891689196,141.04341454555004,53.704224609243326,844.2794377103843,47.67098885644576,29.034068690512065,2209.5417607979684,113.60411945125831,215.62300713454576
Kazakhstan,322.11931490012694,24.68536578390887,119.48714283567251,102.27050221445307,68.94287077371395,516.6363319536277,50.88203447505999,57.55385005657909,1560.5376724677783,110.50413149274412,187.4561279818912
Kenya,419.4382023371929,52.86628744847847,147.75084196214684,97.221356302932,76.90617011074048,669.5967976638057,29.06457106232741,16.420594051986868,1799.8239646202396,104.51702962740754,186.04211405322215
Kiribati,497.76375301080816,37.28441993285547,110.91160418939886,79.17490903275738,57.33434712207237,688.7029191633031,23.174480824617515,30.10600312809567,1821.2128321026485,110.16747410420706,186.59292159453204
Kuwait,498.35736945383337,50.15937615419438,143.74307716362023,141.29574048823525,54.7241256220721,764.6623428257882,81.03096521290782,29.35554177631497,2103.7942391242614,116.30845097710116,224.1572494501935
Kyrgyzstan,291.39436789192155,24.56188905551926,116.97331658668584,102.81552278949472,68.9465845163825,652.4032297100887,30.47830100061467,60.99641375192459,1648.523251444385,110.8541351790182,189.09949096273456
Lao People's Democratic Republic,277.9723165633848,25.358153890310444,105.91895546109288,73.06578259344309,50.472297494482085,447.2718632237292,29.452397791148503,45.69792911234962,1357.610999645333,113.56862164194467,188.8326818734498
Latvia,532.9530644742387,24.776120984913625,146.19670349292576,102.96612760975268,69.10443732632987,531.4855890978465,51.74951898432212,44.88692047471885,1762.120571337508,110.62654724792944,147.37554164452987
Lebanon,775.0271808971057,47.29870057773012,130.87056870379354,152.84082015771136,53.992694057409096,1018.766226094303,53.52419843845164,33.16758215981328,2587.170064863409,109.90830727082846,211.7737865062604
Lesotho,604.6266645236296,42.832467185843306,124.60065536557696,95.67778246507382,71.07547032761458,591.7671321833571,25.984038538530765,11.76636025673531,1841.7983319065584,108.1984071896685,165.2693538705257
Liberia,884.6799101784982,38.37853547698286,130.7520077575329,95.61812758247048,68.44766564045051,603.8417405275001,20.3896739356249,12.742153703440636,2145.114359551419,110.91719041894687,179.34735432997243
Libya,617.1858383525604,46.7633196460226,132.98840937993597,137.9273365446434,53.477877180914746,911.1084066948836,59.61823950157152,28.190324375804,2301.0614637918534,111.08260592453782,202.71910619097983
Lithuania,525.3484594682269,24.67759296467703,169.05729929811068,103.2612239898029,68.73267073090994,692.982394495377,54.72002796654741,44.70602235651573,1940.817444608247,110.22494215342935,147.10681118465024
Luxembourg,801.5258976042949,49.6511222002109,169.14797305541504,134.17098159983956,73.23409520965261,838.1073960071586,134.56345784767228,25.701121853175017,2524.513366294492,120.96664600199284,177.44467491508215
Madagascar,507.4515446612832,50.9173941447305,145.379977068934,96.00970770783478,70.35579726632099,729.4340329461015,22.85948408225365,13.316936142865776,1931.6113905275224,111.22597933591568,184.66053717128304
Malawi,568.5317546022866,50.706212459785945,143.69832643831407,95.30779258828404,69.93091949839888,666.5136823959989,22.172099274289614,10.536758466143022,1913.1978404953416,110.47255384113448,175.32774093070483
Malaysia,249.88779058514717,17.609025583023364,123.31844984538608,67.75998450649463,51.479120625240405,760.7257234253924,44.14120712962056,30.4971954450844,1664.299117280785,114.13967824978532,204.74094188561045
Maldives,267.12985029944514,27.05328421084472,123.67050184306972,68.4941292258262,52.18396068015931,451.2734239715069,35.60785115652402,35.65272363779047,1388.775320937685,118.20499503860133,209.50460087391687
Mali,777.3357175908844,38.27865374777715,126.591323622105,96.25624923858548,68.59791563380978,621.3818416041312,24.66360875875841,14.742735579402629,2059.7104880012603,110.84725631732232,181.01518590848488
Malta,1403.4131533081654,50.24675742875005,164.8457825351821,134.73545944102395,73.49400170588278,420.4400374166182,101.18459496575451,24.002448640285817,2677.744033906084,122.7773975704466,182.60440089397457
Marshall Islands,493.5286750509742,37.55017179661349,103.38931804600368,79.18205142748383,58.08676744119614,574.2776530746183,28.57448062006108,32.95339125659015,1710.3774530326723,111.70021650335148,191.13472781577968
Mauritania,612.2860277867978,38.384479751609774,137.71378849474283,97.51365275862548,69.09925258529293,552.6990671895267,31.84394530590868,11.626231351732113,1853.0716549677056,110.95446190830776,190.950747835162
Mauritius,219.3500174972569,25.15987178938955,110.1856104411804,66.96370785874882,49.85931260997405,828.4219288181736,41.35169806243628,33.243041864817776,1683.0032267832994,111.55114216956328,196.9168956717588
Mexico,671.1765703154244,30.29414269741749,141.75227613848176,187.45559016176668,79.18593835979996,570.0972914966454,81.39056867472102,23.536066411031552,2094.7754938430744,102.2990179910166,207.58803159676933
Micronesia (Federated States of),494.0685067657026,37.52245379746805,113.77313053852828,79.23672967370364,57.9596923910138,573.3599177873209,26.044374138130884,30.227220984735283,1715.4926021317017,110.8001945662052,192.5003814888936
Monaco,1018.2026635947942,49.15993834706564,182.13611810700263,134.17551508416764,72.78258499527116,728.2353373911518,178.23313868135097,23.231100009889108,2680.92559372424,120.35595338273764,174.4132441308083
Mongolia,452.22495448615007,24.608539775102493,118.99904285233411,102.53228588136076,68.81764623571243,559.1608701615626,41.20613245418707,56.24270706516219,1719.9149350122966,110.9949842221407,185.1277718785846
