LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants,Espérance de vie totale,Taux mortalité brute,Médecins pour 10k habitants,Taux de suicides,Mortalité Maternelle à la naissance,Eating_disorders,Mental_disorders,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Djibouti,DJI,5.5,5.15,20.9,64.9,28.2,,8.0,162.0,30.92909273817964,1897.537317674586,2376.12554719873,2510.4300076241,2618.95521147369,2718.08338799203,2837.16902340932,2844.88810647853,3025.91126413549,3133.25779772463,3381.29779710722,3552.72335079222
Dominica,DMA,,6.2,,,30.8,1.17,,36.0,70.34171967570258,2220.516520052906,8282.59874702141,8802.56172041363,8224.64896571414,9215.3085405645,9491.14995962374,7827.74842680426,8376.40414141113,9323.66089490562,9912.96212766668,10405.2787777582
Dominican Republic,DOM,7.5,14.43,5.6,73.3,21.7,2.69,4.2,124.0,81.932816359145,2472.985834757161,6800.95309395474,7160.44200982307,7412.71571571512,7882.98221584944,8183.01623600375,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,10875.6618443092
Ecuador,ECU,4.7,11.87,17.7,74.0,7.1,3.0,7.6,55.0,96.93723823859916,2258.1193758353493,5976.1596805651,5917.63771271481,6233.32244797718,6303.91886658338,6205.05765246766,5463.64515348598,6061.32350181711,6515.58528418336,6737.84748379638,6874.705739766
Egypt,EGY,11.2,7.22,12.9,69.1,9.3,1.87,0.6,17.0,51.487456233873736,2273.886547482666,3306.98159414141,3270.6287768197,2395.10333299491,2484.70315630508,2962.98892023003,3511.11381026379,3827.35415374308,4233.30783744856,3456.78968456253,3338.47371395895
El Salvador,SLV,8.5,21.22,9.4,71.7,4.4,1.57,7.6,39.0,62.80546176973367,1974.0345799516265,3790.34089108162,3901.34014965811,4020.12671373919,4183.54620971358,4320.11671534627,3997.19279583709,4642.60743101342,5074.60210221806,5365.44491399171,5579.65969165029
Equatorial Guinea,GNQ,7.5,4.45,17.1,61.6,27.2,,7.0,174.0,47.69014598442062,2285.668955918601,9068.91003238645,7453.19797948517,7809.10465655488,8102.47084834031,6804.14923073888,5764.05502912947,6945.63069794539,7589.29964909381,6677.793435386,6745.40013244916
Eritrea,ERI,2.8,2.37,48.0,63.6,16.4,0.2,13.2,291.0,22.35791995182139,1876.173765630091,,,,,,,,,,
Estonia,EST,5.6,13.2,1.3,77.1,1.0,10.18,14.9,5.0,54.36658544385533,1703.6519397886725,17722.1557669523,18666.3736521706,20851.5223496861,23618.1361254581,24021.2501413306,23933.9939421065,27951.1659277744,28340.3826549406,30264.0064885057,31428.3547816104
Eswatini,SWZ,10.2,11.35,18.9,54.6,24.5,0.28,27.2,118.0,37.32341353931996,1976.6553175274703,3419.82276559528,3238.17611961364,3853.09956569679,3972.65450620357,3913.14577547336,3466.56936278145,3984.00229174306,3894.1620089869,3755.52111232464,3909.55892378182
Ethiopia,ETH,3.3,5.68,35.5,67.8,27.4,0.28,6.1,195.0,25.143629017578164,2153.159670259535,597.912113218663,641.651523286233,696.348429076216,739.702022272086,793.473247210264,829.790982547947,893.00983544905,982.103161506992,1055.81091592527,1133.88279681719
